dst	archetype	seed	strategy
0000.frag	aurora	0	none
0001.frag	aurora	1	rot
0002.frag	aurora	2	none
0003.frag	aurora	3	none
0004.frag	aurora	4	none
0005.frag	aurora	5	none
0006.frag	aurora	6	none
0007.frag	aurora	7	rot
0008.frag	aurora	8	rot
0009.frag	aurora	9	none
0010.frag	aurora	10	none
0011.frag	aurora	11	none
0012.frag	aurora	12	none
0013.frag	aurora	13	rot
0014.frag	aurora	14	none
0015.frag	aurora	15	none
0016.frag	aurora	16	rot
0017.frag	aurora	17	rot
0018.frag	aurora	18	none
0019.frag	aurora	19	rot
0020.frag	aurora	20	none
0021.frag	aurora	21	none
0022.frag	aurora	22	none
0023.frag	aurora	23	rot
0024.frag	aurora	24	none
0025.frag	aurora	25	none
0026.frag	aurora	26	none
0027.frag	aurora	27	none
0028.frag	aurora	28	rot
0029.frag	aurora	29	rot
0030.frag	aurora	30	none
0031.frag	aurora	31	none
0032.frag	aurora	32	none
0033.frag	aurora	33	none
0034.frag	aurora	34	none
0035.frag	aurora	35	none
0036.frag	aurora	36	none
0037.frag	aurora	37	rot
0038.frag	aurora	38	rot
0039.frag	aurora	39	none
0040.frag	bloom	0	zoomex2
0041.frag	bloom	1	zoomex2
0042.frag	bloom	2	zoomex
0043.frag	bloom	3	zoomex
0044.frag	bloom	4	zoomex
0045.frag	bloom	5	zoomex2
0046.frag	bloom	7	zoomex
0047.frag	bloom	8	zoomex
0048.frag	bloom	9	zoomex
0049.frag	bloom	10	zoomex
0050.frag	bloom	11	zoomex2
0051.frag	bloom	12	zoomex2
0052.frag	bloom	13	zoomex
0053.frag	bloom	16	zoomex
0054.frag	bloom	17	zoomex
0055.frag	bloom	18	zoomex
0056.frag	bloom	19	zoomex
0057.frag	bloom	20	zoomex2
0058.frag	bloom	22	zoomex
0059.frag	bloom	23	zoomex2
0060.frag	bloom	24	zoomex
0061.frag	bloom	25	zoomex
0062.frag	bloom	26	zoomex2
0063.frag	bloom	27	zoomex2
0064.frag	bloom	29	zoomex
0065.frag	bloom	34	zoomex
0066.frag	bloom	36	zoomex
0067.frag	bloom	40	zoomex2
0068.frag	bloom	41	zoomex2
0069.frag	bloom	42	zoomex
0070.frag	bloom	44	zoomex2
0071.frag	bloom	45	zoomex
0072.frag	bloom	46	zoomex2
0073.frag	bloom	48	zoomex2
0074.frag	bloom	50	zoomex2
0075.frag	bloom	54	zoomex2
0076.frag	bloom	55	zoomex2
0077.frag	bloom	56	zoomex2
0078.frag	bloom	62	zoomex2
0079.frag	bloom	63	zoomex
0080.frag	cells	0	none
0081.frag	cells	1	none
0082.frag	cells	2	none
0083.frag	cells	3	none
0084.frag	cells	4	none
0085.frag	cells	5	none
0086.frag	cells	6	none
0087.frag	cells	7	none
0088.frag	cells	8	none
0089.frag	cells	9	none
0090.frag	cells	10	none
0091.frag	cells	11	none
0092.frag	cells	13	none
0093.frag	cells	14	none
0094.frag	cells	15	none
0095.frag	cells	16	none
0096.frag	cells	17	none
0097.frag	cells	18	none
0098.frag	cells	19	none
0099.frag	cells	20	none
0100.frag	cells	21	none
0101.frag	cells	23	none
0102.frag	cells	24	none
0103.frag	cells	25	none
0104.frag	cells	26	none
0105.frag	cells	28	none
0106.frag	cells	29	none
0107.frag	cells	31	none
0108.frag	cells	32	none
0109.frag	cells	33	none
0110.frag	cells	34	none
0111.frag	cells	35	none
0112.frag	cells	39	none
0113.frag	cells	41	none
0114.frag	cells	42	none
0115.frag	cells	43	none
0116.frag	cells	44	none
0117.frag	cells	45	none
0118.frag	cells	46	none
0119.frag	cells	47	none
0120.frag	classic	0	none
0121.frag	classic	1	none
0122.frag	classic	2	none
0123.frag	classic	3	none
0124.frag	classic	4	none
0125.frag	classic	5	none
0126.frag	classic	6	none
0127.frag	classic	7	none
0128.frag	classic	8	none
0129.frag	classic	9	none
0130.frag	classic	10	none
0131.frag	classic	11	none
0132.frag	classic	12	none
0133.frag	classic	13	none
0134.frag	classic	14	none
0135.frag	classic	15	none
0136.frag	classic	16	none
0137.frag	classic	17	none
0138.frag	classic	18	none
0139.frag	classic	19	none
0140.frag	classic	20	none
0141.frag	classic	21	none
0142.frag	classic	22	none
0143.frag	classic	23	none
0144.frag	classic	24	none
0145.frag	classic	25	none
0146.frag	classic	26	none
0147.frag	classic	27	none
0148.frag	classic	28	none
0149.frag	classic	29	none
0150.frag	classic	30	none
0151.frag	classic	31	none
0152.frag	classic	32	none
0153.frag	classic	33	none
0154.frag	classic	34	none
0155.frag	classic	35	none
0156.frag	classic	36	none
0157.frag	classic	37	none
0158.frag	classic	38	none
0159.frag	classic	39	none
0160.frag	contour	0	none
0161.frag	contour	1	none
0162.frag	contour	2	none
0163.frag	contour	3	none
0164.frag	contour	4	none
0165.frag	contour	5	none
0166.frag	contour	6	none
0167.frag	contour	9	none
0168.frag	contour	10	none
0169.frag	contour	11	none
0170.frag	contour	12	none
0171.frag	contour	13	none
0172.frag	contour	14	none
0173.frag	contour	15	none
0174.frag	contour	16	none
0175.frag	contour	17	none
0176.frag	contour	18	none
0177.frag	contour	19	none
0178.frag	contour	20	none
0179.frag	contour	21	none
0180.frag	contour	22	none
0181.frag	contour	23	none
0182.frag	contour	24	none
0183.frag	contour	25	none
0184.frag	contour	26	none
0185.frag	contour	27	none
0186.frag	contour	28	none
0187.frag	contour	29	none
0188.frag	contour	30	none
0189.frag	contour	31	none
0190.frag	contour	32	none
0191.frag	contour	34	none
0192.frag	contour	37	none
0193.frag	contour	41	none
0194.frag	contour	42	none
0195.frag	contour	46	none
0196.frag	contour	47	none
0197.frag	contour	49	none
0198.frag	contour	50	none
0199.frag	contour	52	none
0200.frag	crystal	0	zoomex
0201.frag	crystal	1	zoomex
0202.frag	crystal	2	zoomex
0203.frag	crystal	3	zoomex
0204.frag	crystal	4	zoomex
0205.frag	crystal	5	zoomex
0206.frag	crystal	7	zoomex
0207.frag	crystal	8	zoomex
0208.frag	crystal	9	zoomex
0209.frag	crystal	10	zoomex
0210.frag	crystal	11	zoomex
0211.frag	crystal	12	zoomex
0212.frag	crystal	13	zoomex
0213.frag	crystal	14	zoomex
0214.frag	crystal	15	zoomex
0215.frag	crystal	16	zoomex
0216.frag	crystal	17	zoomex
0217.frag	crystal	18	zoomex
0218.frag	crystal	19	zoomex
0219.frag	crystal	20	zoomex
0220.frag	crystal	21	zoomex
0221.frag	crystal	23	zoomex
0222.frag	crystal	24	zoomex
0223.frag	crystal	25	zoomex
0224.frag	crystal	26	zoomex
0225.frag	crystal	27	zoomex
0226.frag	crystal	29	zoomex
0227.frag	crystal	30	zoomex
0228.frag	crystal	32	zoomex
0229.frag	crystal	33	zoomex
0230.frag	crystal	34	zoomex
0231.frag	crystal	35	zoomex
0232.frag	crystal	36	zoomex
0233.frag	crystal	38	zoomex
0234.frag	crystal	39	zoomex
0235.frag	crystal	40	zoomex
0236.frag	crystal	41	zoomex
0237.frag	crystal	42	zoomex
0238.frag	crystal	43	zoomex
0239.frag	crystal	44	zoomex
0240.frag	facet	0	none
0241.frag	facet	1	none
0242.frag	facet	2	none
0243.frag	facet	3	none
0244.frag	facet	4	none
0245.frag	facet	5	none
0246.frag	facet	9	none
0247.frag	facet	11	none
0248.frag	facet	12	none
0249.frag	facet	13	none
0250.frag	facet	16	none
0251.frag	facet	21	none
0252.frag	facet	24	none
0253.frag	facet	42	none
0254.frag	facet	48	none
0255.frag	facet	52	none
0256.frag	facet	58	none
0257.frag	facet	74	none
0258.frag	facet	83	none
0259.frag	facet	120	none
0260.frag	facet	157	none
0261.frag	facet	163	none
0262.frag	facet	164	none
0263.frag	facet	178	none
0264.frag	facet	188	none
0265.frag	facet	194	none
0266.frag	facet	252	none
0267.frag	facet	288	none
0268.frag	facet	309	none
0269.frag	facet	1501	none
0270.frag	facet	1502	none
0271.frag	facet	1503	none
0272.frag	facet	1504	none
0273.frag	facet	1505	none
0274.frag	facet	1506	none
0275.frag	facet	1507	none
0276.frag	facet	1508	none
0277.frag	facet	1509	none
0278.frag	facet	1510	none
0279.frag	facet	1511	none
0280.frag	flowlines	0	none
0281.frag	flowlines	1	none
0282.frag	flowlines	2	none
0283.frag	flowlines	3	none
0284.frag	flowlines	4	none
0285.frag	flowlines	5	none
0286.frag	flowlines	6	none
0287.frag	flowlines	7	none
0288.frag	flowlines	8	none
0289.frag	flowlines	9	none
0290.frag	flowlines	10	none
0291.frag	flowlines	11	none
0292.frag	flowlines	12	none
0293.frag	flowlines	13	none
0294.frag	flowlines	14	none
0295.frag	flowlines	15	none
0296.frag	flowlines	18	none
0297.frag	flowlines	19	none
0298.frag	flowlines	20	none
0299.frag	flowlines	21	none
0300.frag	flowlines	22	none
0301.frag	flowlines	23	none
0302.frag	flowlines	24	none
0303.frag	flowlines	26	none
0304.frag	flowlines	27	none
0305.frag	flowlines	28	none
0306.frag	flowlines	30	none
0307.frag	flowlines	31	none
0308.frag	flowlines	32	none
0309.frag	flowlines	34	none
0310.frag	flowlines	36	none
0311.frag	flowlines	42	none
0312.frag	flowlines	44	none
0313.frag	flowlines	46	none
0314.frag	flowlines	47	none
0315.frag	flowlines	48	none
0316.frag	flowlines	50	none
0317.frag	flowlines	51	none
0318.frag	flowlines	52	none
0319.frag	flowlines	55	none
0320.frag	fzoom	0	none
0321.frag	fzoom	1	none
0322.frag	fzoom	2	none
0323.frag	fzoom	3	none
0324.frag	fzoom	4	none
0325.frag	fzoom	5	none
0326.frag	fzoom	6	none
0327.frag	fzoom	7	none
0328.frag	fzoom	8	none
0329.frag	fzoom	10	none
0330.frag	fzoom	11	none
0331.frag	fzoom	12	none
0332.frag	fzoom	13	none
0333.frag	fzoom	14	none
0334.frag	fzoom	15	none
0335.frag	fzoom	16	none
0336.frag	fzoom	17	none
0337.frag	fzoom	18	none
0338.frag	fzoom	19	none
0339.frag	fzoom	20	none
0340.frag	fzoom	21	none
0341.frag	fzoom	22	none
0342.frag	fzoom	24	none
0343.frag	fzoom	26	none
0344.frag	fzoom	27	none
0345.frag	fzoom	28	none
0346.frag	fzoom	29	none
0347.frag	fzoom	30	none
0348.frag	fzoom	32	none
0349.frag	fzoom	33	none
0350.frag	fzoom	34	none
0351.frag	fzoom	36	none
0352.frag	fzoom	37	none
0353.frag	fzoom	38	none
0354.frag	fzoom	39	none
0355.frag	fzoom	40	none
0356.frag	fzoom	41	none
0357.frag	fzoom	42	none
0358.frag	fzoom	43	none
0359.frag	fzoom	44	none
0360.frag	glow	0	zoomex2
0361.frag	glow	1	zoom
0362.frag	glow	2	zoomex2
0363.frag	glow	3	none
0364.frag	glow	4	zoomex2
0365.frag	glow	5	zoomex
0366.frag	glow	6	none
0367.frag	glow	7	none
0368.frag	glow	8	none
0369.frag	glow	9	zoomex2
0370.frag	glow	10	zoom
0371.frag	glow	11	zoom
0372.frag	glow	12	zoomex
0373.frag	glow	13	zoom
0374.frag	glow	14	none
0375.frag	glow	15	none
0376.frag	glow	16	zoomex
0377.frag	glow	17	zoom
0378.frag	glow	18	zoomex2
0379.frag	glow	19	zoomex
0380.frag	glow	20	zoom
0381.frag	glow	21	none
0382.frag	glow	22	zoomex
0383.frag	glow	23	zoom
0384.frag	glow	24	zoomex2
0385.frag	glow	25	none
0386.frag	glow	26	none
0387.frag	glow	27	zoom
0388.frag	glow	28	none
0389.frag	glow	30	none
0390.frag	glow	31	none
0391.frag	glow	32	none
0392.frag	glow	33	zoomex
0393.frag	glow	35	zoomex2
0394.frag	glow	36	zoom
0395.frag	glow	37	zoom
0396.frag	glow	38	zoomex2
0397.frag	glow	39	none
0398.frag	glow	40	none
0399.frag	glow	41	zoom
0400.frag	halftone	0	none
0401.frag	halftone	1	none
0402.frag	halftone	2	none
0403.frag	halftone	3	none
0404.frag	halftone	4	none
0405.frag	halftone	5	none
0406.frag	halftone	6	none
0407.frag	halftone	7	none
0408.frag	halftone	8	none
0409.frag	halftone	9	none
0410.frag	halftone	10	none
0411.frag	halftone	11	none
0412.frag	halftone	12	none
0413.frag	halftone	13	none
0414.frag	halftone	14	none
0415.frag	halftone	15	none
0416.frag	halftone	17	none
0417.frag	halftone	18	none
0418.frag	halftone	19	none
0419.frag	halftone	20	none
0420.frag	halftone	21	none
0421.frag	halftone	22	none
0422.frag	halftone	23	none
0423.frag	halftone	24	none
0424.frag	halftone	25	none
0425.frag	halftone	27	none
0426.frag	halftone	28	none
0427.frag	halftone	29	none
0428.frag	halftone	30	none
0429.frag	halftone	31	none
0430.frag	halftone	32	none
0431.frag	halftone	33	none
0432.frag	halftone	34	none
0433.frag	halftone	35	none
0434.frag	halftone	36	none
0435.frag	halftone	37	none
0436.frag	halftone	38	none
0437.frag	halftone	39	none
0438.frag	halftone	41	none
0439.frag	halftone	42	none
0440.frag	layer	0	none
0441.frag	layer	1	none
0442.frag	layer	2	none
0443.frag	layer	3	none
0444.frag	layer	4	none
0445.frag	layer	5	none
0446.frag	layer	6	none
0447.frag	layer	7	none
0448.frag	layer	8	none
0449.frag	layer	9	none
0450.frag	layer	10	none
0451.frag	layer	11	none
0452.frag	layer	12	none
0453.frag	layer	13	none
0454.frag	layer	14	none
0455.frag	layer	15	none
0456.frag	layer	16	none
0457.frag	layer	17	none
0458.frag	layer	18	none
0459.frag	layer	19	none
0460.frag	layer	20	none
0461.frag	layer	21	none
0462.frag	layer	22	none
0463.frag	layer	23	none
0464.frag	layer	24	none
0465.frag	layer	25	none
0466.frag	layer	26	none
0467.frag	layer	27	none
0468.frag	layer	28	none
