dst	strategy
0000.frag	none
0001.frag	none
0002.frag	none
0003.frag	none
0004.frag	none
0005.frag	none
0006.frag	none
0007.frag	rot
0008.frag	rot
0009.frag	none
0010.frag	rot
0011.frag	none
0012.frag	none
0013.frag	rot
0014.frag	none
0015.frag	rot
0016.frag	none
0017.frag	none
0018.frag	rot
0019.frag	rot
0020.frag	none
0021.frag	none
0022.frag	none
0023.frag	none
0024.frag	rot
0025.frag	none
0026.frag	none
0027.frag	none
0028.frag	rot
0029.frag	none
0030.frag	none
0031.frag	none
0032.frag	none
0033.frag	none
0034.frag	rot
0035.frag	none
0036.frag	none
0037.frag	rot
0038.frag	none
0039.frag	none
0040.frag	rot
0041.frag	none
0042.frag	none
0043.frag	none
0044.frag	none
0045.frag	none
0046.frag	rot
0047.frag	none
0048.frag	none
0049.frag	rot
0050.frag	none
0051.frag	none
0052.frag	none
0053.frag	none
0054.frag	none
0055.frag	none
0056.frag	none
0057.frag	none
0058.frag	none
0059.frag	none
0060.frag	none
0061.frag	none
0062.frag	none
0063.frag	none
0064.frag	none
0065.frag	none
0066.frag	none
0067.frag	none
0068.frag	none
0069.frag	none
0070.frag	none
0071.frag	none
0072.frag	none
0073.frag	none
0074.frag	none
0075.frag	none
0076.frag	none
0077.frag	none
0078.frag	none
0079.frag	none
0080.frag	none
0081.frag	none
0082.frag	none
0083.frag	none
0084.frag	none
0085.frag	none
0086.frag	none
0087.frag	none
0088.frag	none
0089.frag	none
0090.frag	none
0091.frag	none
0092.frag	none
0093.frag	none
0094.frag	none
0095.frag	none
0096.frag	none
0097.frag	none
0098.frag	none
0099.frag	none
0100.frag	none
0101.frag	none
0102.frag	none
0103.frag	none
0104.frag	none
0105.frag	none
0106.frag	none
0107.frag	none
0108.frag	none
0109.frag	none
0110.frag	none
0111.frag	none
0112.frag	none
0113.frag	none
0114.frag	rot
0115.frag	none
0116.frag	none
0117.frag	none
0118.frag	none
0119.frag	none
0120.frag	none
0121.frag	none
0122.frag	none
0123.frag	none
0124.frag	none
0125.frag	none
0126.frag	none
0127.frag	none
0128.frag	rot
0129.frag	none
0130.frag	none
0131.frag	none
0132.frag	none
0133.frag	none
0134.frag	none
0135.frag	none
0136.frag	none
0137.frag	none
0138.frag	none
0139.frag	none
0140.frag	none
0141.frag	none
0142.frag	none
0143.frag	none
0144.frag	none
0145.frag	none
0146.frag	none
0147.frag	none
0148.frag	none
0149.frag	none
0150.frag	none
0151.frag	none
0152.frag	none
0153.frag	none
0154.frag	none
0155.frag	none
0156.frag	none
0157.frag	none
0158.frag	none
0159.frag	none
0160.frag	none
0161.frag	none
0162.frag	none
0163.frag	none
0164.frag	none
0165.frag	none
0166.frag	none
0167.frag	none
0168.frag	none
0169.frag	none
0170.frag	none
0171.frag	none
0172.frag	none
0173.frag	none
0174.frag	none
0175.frag	none
0176.frag	none
0177.frag	none
0178.frag	none
0179.frag	none
0180.frag	none
0181.frag	none
0182.frag	none
0183.frag	none
0184.frag	none
0185.frag	none
0186.frag	none
0187.frag	none
0188.frag	none
0189.frag	none
0190.frag	none
0191.frag	none
0192.frag	none
0193.frag	none
0194.frag	none
0195.frag	none
0196.frag	none
0197.frag	none
0198.frag	none
0199.frag	none
0200.frag	none
0201.frag	none
0202.frag	none
0203.frag	none
0204.frag	none
0205.frag	none
0206.frag	none
0207.frag	none
0208.frag	none
0209.frag	none
0210.frag	none
0211.frag	none
0212.frag	none
0213.frag	none
0214.frag	none
0215.frag	none
0216.frag	none
0217.frag	none
0218.frag	none
0219.frag	none
0220.frag	none
0221.frag	none
0222.frag	none
0223.frag	none
0224.frag	none
0225.frag	none
0226.frag	none
0227.frag	none
0228.frag	none
0229.frag	none
0230.frag	none
0231.frag	none
0232.frag	none
0233.frag	none
0234.frag	none
0235.frag	none
0236.frag	none
0237.frag	none
0238.frag	none
0239.frag	none
0240.frag	none
0241.frag	none
0242.frag	none
0243.frag	none
0244.frag	none
0245.frag	none
0246.frag	none
0247.frag	none
0248.frag	none
0249.frag	none
0250.frag	none
0251.frag	none
0252.frag	none
0253.frag	none
0254.frag	none
0255.frag	none
0256.frag	none
0257.frag	none
0258.frag	none
0259.frag	none
0260.frag	none
0261.frag	none
0262.frag	none
0263.frag	none
0264.frag	none
0265.frag	none
0266.frag	none
0267.frag	none
0268.frag	none
